key-value,latency,ops/sec,throughput(MB/s)
k16v16,24.26,243827.0,7.47
k16v32,23.09,251607.67,11.5
k16v64,24.73,237141.0,18.1
k16v128,24.5,238912.0,32.8
k16v256,25.98,225684.33,58.53
k16v512,31.01,187842.67,94.6
k16v1024,43.8,132002.0,130.93
k16v2048,79.89,73283.33,144.23
k16v3072,109.35,53605.33,157.87
k16v4096,170.65,34362.67,134.77
k16v5120,225.17,26598.67,130.27
k16v6144,288.89,20522.33,120.57
k16v7168,350.39,16916.0,115.9
k16v8192,485.87,12192.33,95.43
k128v16,26.4,220238.0,30.23
k128v32,26.14,222064.33,33.9
k128v64,27.43,211704.67,38.73
k128v128,27.96,207312.67,50.63
k128v256,30.51,190755.0,69.83
k128v512,37.12,155738.33,95.07
k128v1024,50.45,114501.67,125.8
k128v2048,85.34,69220.33,143.63
k128v3072,113.65,51165.0,156.17
k128v4096,216.47,29437.0,118.6
k128v5120,213.31,27670.67,138.5
k128v6144,290.74,19791.0,118.4
k128v7168,336.34,17806.67,123.9
k128v8192,482.7,12368.33,98.17
k256v16,27.09,216398.67,56.13
k256v32,28.2,208375.67,57.23
k256v64,28.52,206016.0,62.87
k256v128,29.85,197125.33,72.17
k256v256,31.3,185711.0,90.7
k256v512,39.85,147158.67,107.77
k256v1024,51.7,112612.67,137.47
k256v2048,82.2,70865.33,155.7
k256v3072,163.05,38418.33,121.93
k256v4096,226.99,25778.0,107.0
k256v5120,263.76,22376.0,114.73
k256v6144,340.8,17909.0,109.3
k256v7168,335.1,17851.0,126.4
k256v8192,565.12,10498.67,84.6
k1024v16,54.91,105686.0,104.83
k1024v32,48.07,119461.67,120.3
k1024v64,49.71,117359.0,121.77
k1024v128,51.77,113544.0,124.77
k1024v256,55.57,104074.67,127.07
k1024v512,64.33,90008.67,131.83
k1024v1024,85.64,68465.67,133.73
k1024v2048,132.78,44714.67,131.0
k1024v3072,181.62,32704.67,127.77
k1024v4096,237.76,24003.67,117.2
k1024v5120,304.62,19515.33,114.37
k1024v6144,373.19,16001.0,109.37
k1024v7168,542.52,11069.33,86.5
k1024v8192,629.18,9447.67,83.03
