key-value,latency,ops/sec,throughput(MB/s)
k16v16,2.24,446070.2,13.62
k16v32,2.26,443520.0,20.32
k16v64,2.39,417906.8,31.88
k16v128,2.67,375345.6,51.54
k16v256,3.15,326706.0,84.74
k16v512,2.67,374471.8,188.56
k16v1024,3.96,253366.2,251.3
k16v2048,5.68,177116.4,348.62
k16v3072,7.01,142663.4,420.16
k16v4096,10.54,94989.2,372.5
k16v5120,12.21,81906.2,401.18
k16v6144,16.4,61018.4,358.46
k16v7168,19.7,50813.0,348.12
k16v8192,24.0,41730.0,326.66
k128v16,2.74,364673.8,50.06
k128v32,2.73,366626.0,55.96
k128v64,2.74,364824.0,66.82
k128v128,3.01,334498.4,81.68
k128v256,3.12,320218.0,117.26
k128v512,3.26,306528.2,187.1
k128v1024,4.3,232856.2,255.82
k128v2048,5.87,170431.4,353.68
k128v3072,7.32,136724.8,417.24
k128v4096,10.52,95079.6,383.02
k128v5120,13.14,76121.4,381.0
k128v6144,26.61,52191.6,312.2
k128v7168,19.73,50715.4,352.88
k128v8192,29.43,37009.0,293.68
k256v16,2.98,335638.8,87.06
k256v32,2.97,337047.0,92.56
k256v64,2.99,334550.2,102.1
k256v128,3.22,313709.6,114.88
k256v256,3.3,303284.4,148.08
k256v512,3.53,283487.0,207.62
k256v1024,4.41,226928.0,277.02
k256v2048,6.23,160460.0,352.6
k256v3072,8.02,124660.4,395.68
k256v4096,10.85,92148.0,382.44
k256v5120,15.27,65568.6,336.18
k256v6144,27.32,46614.8,284.5
k256v7168,22.32,45044.0,318.92
k256v8192,40.62,33313.4,268.42
k1024v16,4.68,214482.0,212.74
k1024v32,4.66,214706.8,216.24
k1024v64,5.51,184061.8,190.96
k1024v128,5.1,196053.4,215.38
k1024v256,5.19,193386.8,236.06
k1024v512,5.7,175570.8,257.2
k1024v1024,6.73,148963.8,290.96
k1024v2048,8.32,120153.8,352.02
k1024v3072,11.64,86596.4,338.28
k1024v4096,13.9,72116.8,352.12
k1024v5120,16.77,59655.0,349.54
k1024v6144,26.29,44693.6,305.54
k1024v7168,41.87,33342.8,260.5
k1024v8192,40.56,31924.2,280.58
