key-value,latency,ops/sec,throughput(MB/s)
k16v16,3.23,312853.8,9.54
k16v32,3.38,296166.0,13.56
k16v64,3.43,292677.2,22.32
k16v128,3.41,293759.0,40.36
k16v256,4.1,248791.4,64.54
k16v512,5.35,190916.8,96.14
k16v1024,7.46,134072.2,132.98
k16v2048,9.66,104033.6,204.78
k16v3072,14.05,71648.2,210.98
k16v4096,19.48,51481.2,201.88
k16v5120,34.52,32848.8,160.9
k16v6144,41.32,26475.0,155.52
k16v7168,51.29,21722.0,148.82
k16v8192,71.88,15532.0,121.58
k128v16,4.42,230209.0,31.62
k128v32,3.72,269047.2,41.04
k128v64,3.94,254875.6,46.66
k128v128,3.88,257690.0,62.9
k128v256,4.2,238300.8,87.26
k128v512,4.74,210829.8,128.68
k128v1024,6.52,153392.2,168.52
k128v2048,10.12,98883.6,205.22
k128v3072,13.45,74442.4,227.18
k128v4096,23.13,43920.2,176.92
k128v5120,27.05,37691.6,188.64
k128v6144,37.27,27610.6,165.16
k128v7168,45.4,23247.4,161.74
k128v8192,55.1,18685.8,148.28
k256v16,4.5,222867.8,57.82
k256v32,4.36,229529.0,63.04
k256v64,4.37,230099.0,70.22
k256v128,4.26,234850.0,86.02
k256v256,4.96,202332.8,98.8
k256v512,6.08,164758.8,120.68
k256v1024,6.7,149687.4,182.74
k256v2048,11.21,89393.4,196.42
k256v3072,13.84,72282.2,229.42
k256v4096,25.89,44541.6,184.84
k256v5120,45.97,25802.4,132.3
k256v6144,39.85,25820.6,157.6
k256v7168,67.11,17232.8,122.02
k256v8192,67.97,14800.4,119.24
k1024v16,8.42,125794.0,124.78
k1024v32,8.84,114630.6,115.44
k1024v64,6.62,151146.2,156.84
k1024v128,6.65,150464.0,165.3
k1024v256,6.77,147692.6,180.28
k1024v512,8.16,122661.6,179.68
k1024v1024,9.24,108308.8,211.56
k1024v2048,12.81,78094.6,228.8
k1024v3072,29.13,47778.6,186.66
k1024v4096,23.18,43167.8,210.78
k1024v5120,33.94,30098.6,176.38
k1024v6144,55.18,19496.0,133.28
k1024v7168,49.67,20452.2,159.78
k1024v8192,67.66,14989.2,131.74
