key-value,latency,ops/sec,throughput(MB/s)
k16v16,1.09,920755.0,28.08
k16v32,1.08,925696.2,42.38
k16v64,1.17,855990.2,65.32
k16v128,1.18,848579.6,116.56
k16v256,1.24,825292.2,214.08
k16v512,1.19,838564.8,422.24
k16v1024,1.83,545249.4,540.8
k16v2048,4.1,243780.2,479.84
k16v3072,5.36,185830.0,547.24
k16v4096,7.66,130635.8,512.28
k16v5120,8.79,113770.0,557.26
k16v6144,10.53,94950.0,557.82
k16v7168,11.38,87796.4,601.52
k16v8192,13.33,75054.0,587.5
k128v16,1.14,878187.6,120.6
k128v32,1.14,874124.2,133.36
k128v64,1.14,874004.6,160.04
k128v128,1.16,858901.2,209.72
k128v256,1.2,835295.0,305.9
k128v512,1.32,755618.4,461.18
k128v1024,2.03,493573.6,542.24
k128v2048,4.29,232446.8,482.38
k128v3072,5.53,180780.8,551.7
k128v4096,7.85,127540.8,513.78
k128v5120,8.71,114866.2,574.88
k128v6144,10.74,93153.2,557.2
k128v7168,32.37,58349.2,406.0
k128v8192,14.67,68614.0,544.44
k256v16,1.19,843697.0,218.86
k256v32,1.2,833758.6,229.0
k256v64,1.19,840702.4,256.54
k256v128,1.3,771522.6,282.54
k256v256,1.24,808007.6,394.54
k256v512,1.55,644777.0,472.24
k256v1024,2.16,463940.2,566.34
k256v2048,4.51,222586.6,489.08
k256v3072,6.42,155799.6,494.46
k256v4096,8.08,123847.8,514.02
k256v5120,10.29,97258.4,498.64
k256v6144,22.34,72289.4,441.22
k256v7168,14.23,70323.2,497.92
k256v8192,14.88,67437.0,543.32
k1024v16,1.98,506187.4,502.06
k1024v32,1.97,508252.6,511.86
k1024v64,1.98,504783.0,523.76
k1024v128,2.13,469129.0,515.4
k1024v256,2.47,418254.0,510.56
k1024v512,3.28,304954.2,446.72
k1024v1024,4.48,223299.8,436.14
k1024v2048,5.69,175785.4,515.0
k1024v3072,8.05,124170.6,485.04
k1024v4096,9.44,106385.2,519.46
k1024v5120,11.96,84638.8,495.92
k1024v6144,20.21,50502.4,345.26
k1024v7168,16.26,62625.6,489.28
k1024v8192,16.78,59746.8,525.12
