key-value,latency,ops/sec,throughput(MB/s)
k16v16,1.74,576816.0,17.6
k16v32,1.83,547722.2,25.06
k16v64,1.83,547790.2,41.82
k16v128,1.85,542065.6,74.44
k16v256,2.0,502467.0,130.34
k16v512,2.19,458359.6,230.82
k16v1024,4.94,202953.4,201.28
k16v2048,8.22,121811.2,239.8
k16v3072,12.12,82502.0,242.96
k16v4096,15.37,65052.4,255.1
k16v5120,18.54,53957.4,264.3
k16v6144,23.64,42569.6,250.1
k16v7168,39.43,30190.0,206.84
k16v8192,48.4,25886.4,202.66
k128v16,1.99,503884.0,69.2
k128v32,1.97,507693.0,77.46
k128v64,1.93,517921.6,94.86
k128v128,2.01,497235.0,121.38
k128v256,2.16,463611.8,169.78
k128v512,2.53,394991.0,241.08
k128v1024,4.98,201266.4,221.12
k128v2048,8.76,114219.8,237.06
k128v3072,14.62,75065.6,229.06
k128v4096,19.87,54846.2,220.94
k128v5120,27.9,36645.4,183.42
k128v6144,36.89,27246.2,162.96
k128v7168,50.19,22176.8,154.3
k128v8192,48.58,20600.6,163.46
k256v16,2.11,474122.8,122.98
k256v32,2.15,465589.2,127.9
k256v64,2.11,473249.8,144.42
k256v128,2.21,453388.4,166.06
k256v256,2.26,441982.6,215.82
k256v512,3.7,277719.8,203.4
k256v1024,5.42,184590.6,225.34
k256v2048,9.3,107579.4,236.36
k256v3072,12.8,78269.6,248.42
k256v4096,16.84,59730.6,247.9
k256v5120,26.92,41589.6,213.24
k256v6144,36.21,29040.8,177.26
k256v7168,50.57,20693.0,146.52
k256v8192,38.53,26636.2,214.6
k1024v16,4.61,216933.8,215.14
k1024v32,4.63,215956.8,217.48
k1024v64,4.87,205311.4,213.04
k1024v128,4.9,203980.0,224.12
k1024v256,5.23,191316.0,233.56
k1024v512,6.8,146995.6,215.32
k1024v1024,8.63,116183.8,226.94
k1024v2048,15.66,69789.8,204.46
k1024v3072,16.7,60191.6,235.12
k1024v4096,33.01,41040.8,200.4
k1024v5120,28.37,36314.8,212.78
k1024v6144,53.73,22382.6,153.02
k1024v7168,43.44,23938.0,187.04
k1024v8192,51.23,19571.0,172.0
