key-value,latency,ops/sec,throughput(MB/s)
k16v16,24.75,234994.4,7.18
k16v32,26.34,222910.0,10.2
k16v64,31.44,189123.0,14.44
k16v128,32.16,184480.0,25.34
k16v256,32.49,180256.0,46.74
k16v512,40.33,145305.8,73.18
k16v1024,62.55,92543.8,91.8
k16v2048,107.42,54359.6,107.02
k16v3072,158.5,37417.0,110.2
k16v4096,233.87,25402.2,99.62
k16v5120,333.94,17664.0,86.5
k16v6144,430.06,13665.6,80.3
k16v7168,480.16,12997.0,89.06
k16v8192,422.82,14076.2,110.2
k128v16,28.05,209449.4,28.76
k128v32,27.95,209465.6,31.98
k128v64,28.46,206400.4,37.8
k128v128,28.66,202370.4,49.42
k128v256,32.62,180961.0,66.26
k128v512,39.26,149194.8,91.06
k128v1024,49.76,117175.0,128.72
k128v2048,94.8,61723.6,128.12
k128v3072,131.55,45084.0,137.6
k128v4096,210.0,28089.2,113.18
k128v5120,269.43,22248.4,111.36
k128v6144,289.95,19661.4,117.6
k128v7168,398.11,15173.2,105.58
k128v8192,437.05,13579.0,107.76
k256v16,28.44,206587.8,53.58
k256v32,30.94,190738.0,52.38
k256v64,29.7,197275.4,60.2
k256v128,30.27,194676.6,71.3
k256v256,32.35,178772.8,87.28
k256v512,39.81,146284.6,107.14
k256v1024,52.8,109078.2,133.16
k256v2048,93.97,61686.8,135.54
k256v3072,139.27,42625.6,135.3
k256v4096,199.43,30032.8,124.64
k256v5120,237.4,24785.4,127.06
k256v6144,369.88,16201.8,98.9
k256v7168,493.39,12010.0,85.04
k256v8192,548.27,10789.6,86.94
k1024v16,47.14,123338.4,122.32
k1024v32,49.07,121397.4,122.26
k1024v64,55.38,109604.6,113.74
k1024v128,54.48,110371.0,121.22
k1024v256,60.16,100704.8,122.92
k1024v512,74.55,82778.4,121.24
k1024v1024,106.78,60837.0,118.82
k1024v2048,179.24,33542.6,98.26
k1024v3072,236.6,24884.4,97.22
k1024v4096,295.55,20271.4,99.0
k1024v5120,331.82,17930.2,105.06
k1024v6144,389.44,15226.0,104.08
k1024v7168,421.91,14018.0,109.52
k1024v8192,500.78,11902.8,104.6
