key-value,latency,ops/sec,throughput(MB/s)
k16v16,24.07,242070.2,7.4
k16v32,24.95,234938.8,10.76
k16v64,25.88,225301.0,17.18
k16v128,25.54,227312.4,31.22
k16v256,27.7,210989.2,54.72
k16v512,33.09,175934.6,88.6
k16v1024,48.02,122345.8,121.36
k16v2048,91.52,65936.0,129.8
k16v3072,121.04,48520.8,142.9
k16v4096,187.8,31655.0,124.14
k16v5120,240.43,24602.0,120.48
k16v6144,304.78,19447.4,114.26
k16v7168,382.97,15400.8,105.52
k16v8192,496.24,12066.0,94.46
k128v16,27.31,213559.8,29.34
k128v32,27.52,212546.8,32.44
k128v64,27.99,208515.4,38.18
k128v128,28.71,204495.2,49.92
k128v256,31.79,184879.8,67.7
k128v512,39.09,148702.2,90.76
k128v1024,51.45,112582.8,123.68
k128v2048,87.05,67278.2,139.6
k128v3072,142.33,41972.8,128.08
k128v4096,211.98,28332.8,114.12
k128v5120,243.82,24329.8,121.78
k128v6144,312.61,18457.0,110.4
k128v7168,384.43,15358.2,106.86
k128v8192,477.65,12405.8,98.44
k256v16,29.98,195213.6,50.66
k256v32,30.68,191733.2,52.64
k256v64,31.57,186483.6,56.92
k256v128,32.35,180479.8,66.1
k256v256,33.99,170850.8,83.44
k256v512,42.21,137439.2,100.68
k256v1024,56.21,103331.4,126.12
k256v2048,91.77,64258.6,141.2
k256v3072,153.09,39697.4,126.0
k256v4096,235.52,25337.0,105.16
k256v5120,251.48,23795.2,122.0
k256v6144,331.88,17732.4,108.24
k256v7168,414.83,14154.6,100.24
k256v8192,471.26,12173.0,98.08
k1024v16,47.1,123105.8,122.12
k1024v32,49.61,117687.4,118.52
k1024v64,48.51,118342.8,122.8
k1024v128,49.18,117821.6,129.46
k1024v256,57.89,102915.8,125.62
k1024v512,63.97,91968.2,134.74
k1024v1024,83.05,71584.2,139.8
k1024v2048,138.45,43499.4,127.42
k1024v3072,205.51,28730.6,112.22
k1024v4096,234.99,25274.0,123.42
k1024v5120,290.12,20212.0,118.42
k1024v6144,401.86,14864.2,101.62
k1024v7168,483.49,12220.6,95.48
k1024v8192,512.98,11512.4,101.18
