key-value,latency,ops/sec,throughput(MB/s)
k16v16,16.89,325680.2,9.94
k16v32,17.51,314170.2,14.38
k16v64,17.21,318047.0,24.28
k16v128,16.94,319892.0,43.92
k16v256,18.88,285945.6,74.18
k16v512,22.62,240331.0,121.0
k16v1024,31.75,171609.2,170.22
k16v2048,63.18,89592.2,176.38
k16v3072,80.05,71095.8,209.38
k16v4096,134.45,45015.2,176.52
k16v5120,185.49,32390.8,158.66
k16v6144,226.26,26013.8,152.82
k16v7168,283.71,20832.6,142.72
k16v8192,373.36,15913.6,124.58
k128v16,17.52,305683.2,41.98
k128v32,17.78,306111.4,46.7
k128v64,19.08,283814.6,51.96
k128v128,18.67,290600.6,70.94
k128v256,20.03,271373.2,99.36
k128v512,24.28,218299.6,133.24
k128v1024,33.48,161722.2,177.68
k128v2048,59.95,93176.8,193.36
k128v3072,120.72,49283.2,150.42
k128v4096,157.56,37519.0,151.14
k128v5120,159.17,37766.4,189.02
k128v6144,225.87,26158.6,156.46
k128v7168,250.77,23437.8,163.08
k128v8192,359.13,16479.0,130.76
k256v16,19.75,271327.8,70.38
k256v32,19.78,272179.0,74.76
k256v64,20.7,261047.8,79.66
k256v128,21.86,247628.0,90.68
k256v256,22.57,236878.0,115.66
k256v512,28.6,188659.6,138.18
k256v1024,37.05,144345.6,176.18
k256v2048,66.68,80409.0,176.68
k256v3072,112.0,52030.6,165.12
k256v4096,147.09,40095.6,166.44
k256v5120,191.03,31061.8,159.26
k256v6144,230.14,25621.8,156.38
k256v7168,283.93,20418.75,144.6
k256v8192,352.86,16525.0,133.14
k1024v16,32.1,165952.2,164.6
k1024v32,33.83,158201.6,159.32
k1024v64,37.0,149352.0,154.98
k1024v128,35.13,150191.6,165.02
k1024v256,38.76,136963.6,167.18
k1024v512,44.91,121904.6,178.56
k1024v1024,62.02,91365.2,178.48
k1024v2048,91.88,62927.8,184.38
k1024v3072,136.47,42603.0,166.42
k1024v4096,195.3,30773.4,150.26
k1024v5120,251.15,24227.4,141.96
k1024v6144,279.05,21158.8,144.64
k1024v7168,349.51,16953.8,132.46
k1024v8192,412.41,14226.4,125.06
